0,1,2,header,description
9,9,9,Unnatural Resilience,+3% to all Elemental Resistances\n+2% to Maximum Fire Resistance if you have at least 5 Red Support Gems Socketed
8,9,9,Lightning Rod,30% chance for Lightning Damage with Hits to be Lucky
9,9,8,Crystallised Immunities,Immune to Chill if a majority of your Socketed Support Gems are Blue\nImmune to Ignite if a majority of your Socketed Support Gems are Red\nImmune to Shock if a majority of your Socketed Support Gems are Green
9,7,9,Wild Storm,Gain 4% of Damage as Extra Cold Damage\nGain 4% of Damage as Extra Lightning Damage\n+10 to Dexterity
6,9,9,Dark Entries,+1 to Level of all Chaos Skills
9,6,9,Blood of Rage,Gain 8 Rage when you use a Life Flask
9,9,6,Vocal Empowerment,Warcries Empower an additional Attack
9,5,9,Cremation,Damage Penetrates 18% Fire Resistance\nGain 6% of Elemental Damage as Extra Fire Damage
4,9,9,Wide Barrier,30% increased Block chance\n25% reduced Defences
9,4,9,Unimpeded,24% reduced Slowing Potency of Debuffs on You
9,9,4,Zone of Control,"20% increased Area of Effect of Curses\n10% increased Curse Magnitudes\nEnemies you Curse are Hindered , with 15% reduced Movement Speed"
9,3,9,Enhanced Barrier,25% increased maximum Energy Shield\n5% of Maximum Life Converted to Energy Shield
9,9,3,Catalysis,20% increased Elemental Damage with Attacks\n5% of Physical Damage from Hits taken as Damage of a Random Element
2,9,9,Building Toxins,25% reduced Poison Duration\nTargets can be affected by +1 of your Poisons at the same time
9,9,2,Spike Pit,Enemies in Jagged Ground you create take 10% increased Damage
1,9,9,Profane Commander,30% increased Presence Area of Effect\n4% increased Spirit
9,1,9,Eldritch Will,"3% increased maximum Life, Mana and Energy Shield\nGain additional Ailment Threshold equal to 15% of maximum Energy Shield\nGain additional Stun Threshold equal to 15% of maximum Energy Shield"
9,9,1,Electric Blood,+1% to Maximum Lightning Resistance\n50% reduced effect of Shock on you
0,9,9,Goring,3% reduced maximum Life\n30% increased amount of Life Leeched\n40% increased Physical Damage
9,0,9,Tribal Fury,Strikes deal Splash Damage
9,9,0,Lord of Horrors,12% increased Reservation Efficiency of Minion Skills
8,8,9,Splitting Ground,Skills which create Fissures have a 20% chance to create an additional Fissure
8,9,8,Fast Metabolism,Life Leech effects are not removed when Unreserved Life is Filled
9,8,8,Feathered Fletching,Increases and Reductions to Projectile Speed also apply to Damage with Bows
7,8,9,Sudden Infuriation,"4% chance that if you would gain Rage on Hit , you instead gain up to your maximum Rage"
7,9,8,Urgent Call,Recover 2% of maximum Life and Mana when you use a Warcry\n24% increased Warcry Speed\n18% increased Warcry Cooldown Recovery Rate
8,7,9,Toxic Tolerance,Immune to Poison
8,9,7,Patient Barrier,60% increased maximum Energy Shield\n20% slower start of Energy Shield Recharge
9,8,7,Endless Blizzard,+1 to Level of all Cold Skills
6,9,8,Touch the Arcane,40% increased effect of Arcane Surge on you
8,6,9,Repeating Explosives,Grenades have 15% chance to activate a second time
8,9,6,Calibration,30% increased maximum Energy Shield\n4% increased maximum Mana
9,6,8,The Cunning Fox,+5% to Quality of all Skills
9,8,6,Sniper,"Arrows gain Critical Hit Chance as they travel farther, up to 40% increased Critical Hit Chance after 7 metres"
5,8,9,Agonising Calamity,40% increased Chaos Damage while affected by Herald of Plague\n40% increased Physical Damage while affected by Herald of Blood
5,9,8,Coming Calamity,40% increased Cold Damage while affected by Herald of Ice\n40% increased Fire Damage while affected by Herald of Ash\n40% increased Lightning Damage while affected by Herald of Thunder
8,9,5,Cluster Bombs,Grenade Skills Fire an additional Projectile\n50% increased Grenade Detonation Time
9,8,5,One with the Storm,Quarterstaff Skills that consume Power Charges count as consuming an additional Power Charge
4,9,8,Right Hand of Darkness,Minions have 20% increased Area of Effect\nMinions have 10% chance to inflict Withered on Hit\nSpells Gain 5% of Damage as extra Chaos Damage
8,4,9,Stars Aligned,Damage with Hits is Lucky against Enemies that are on Low Life
8,9,4,Effervescent,4% increased Cast Speed for each different Non-Instant Spell you've Cast Recently
9,8,4,Left Hand of Darkness,Minions have 20% additional Physical Damage Reduction\nMinions have +23% to Chaos Resistance\nAttacks Gain 5% of Damage as extra Chaos Damage
3,8,9,Sanguimantic Rituals,Regenerate 1% of maximum Life per second\nArcane Surge grants more Life Regeneration Rate instead of Mana Regeneration Rate
3,9,8,Power Shots,80% increased Critical Damage Bonus with Crossbows\n15% reduced Attack Speed with Crossbows
8,3,9,Easy Going,25% increased Reservation Efficiency of Companion Skills
8,9,3,Volcanic Skin,Gain 8% of Damage as Extra Fire Damage\n+20% to Fire Resistance
9,8,3,Polymathy,7% increased Attributes
2,8,9,Dimensional Weakspot,Hits have 15% chance to treat Enemy Monster Elemental Resistance values as inverted
2,9,8,Voracious,20% of Leech is Instant
8,2,9,Low Tolerance,60% increased Effect of Poison you inflict on targets that are not Poisoned
8,9,2,Overexposure,30% increased Exposure Effect
9,2,8,Gem Enthusiast,5% increased Maximum Life if you have at least 10 Red Support Gems Socketed\n5% increased Maximum Mana if you have at least 10 Blue Support Gems Socketed\n5% increased Movement Speed if you have at least 10 Green Support Gems Socketed
9,8,2,General Electric,40% increased chance to Shock\n5% increased Attack and Cast Speed with Lightning Skills
1,9,8,Total Incineration,10% increased Ignite Duration on Enemies\n25% increased Damage with Hits against Ignited Enemies
8,1,9,Woodland Aspect,Charms applied to you have 25% increased Effect
8,9,1,Trick Shot,Projectiles have 15% chance to Chain an additional time from terrain
9,8,1,Marked for Death,Culling Strike against Enemies you Mark
0,8,9,Brute Strength,10% reduced maximum Mana\n1% increased Damage per 15 Strength
0,9,8,Ingenuity,+25 to Intelligence
8,0,9,Raw Mana,8% increased maximum Mana\n10% increased Mana Cost of Skills
8,9,0,Forces of Nature,Attack Damage Penetrates 15% of Enemy Elemental Resistances
9,0,8,Heartstopping Presence,Enemies in your Presence have 75% reduced Life Regeneration rate
9,8,0,Drenched,40% increased chance to Shock\nGain 5% of Lightning Damage as Extra Cold Damage
7,7,9,Lightning Quick,14% increased Lightning Damage\n8% increased Attack and Cast Speed with Lightning Skills
7,9,7,Chakra of Life,3% increased maximum Life\n10% increased Life Recovery rate
9,7,7,Glazed Flesh,"3% of Damage Taken Recouped as Life, Mana and Energy Shield"
6,7,9,Relentless Fallen,3% increased Movement Speed\nMinions have 20% increased Movement Speed\nMinions have 8% increased Attack and Cast Speed
7,6,9,Overzealous,16% increased Cast Speed\n15% increased Mana Cost of Skills
9,6,7,Spaghettification,3% increased Movement Speed\n29% increased Chaos Damage\n+13 to all Attributes\n-7% to Chaos Resistance\n23% reduced Light Radius
9,7,6,Crystalline Resistance,"+1% to all Maximum Elemental Resistances if you have at least 5 Red, Green and Blue Support Gems Socketed"
5,7,9,Defensive Stance,+4% to maximum Block chance
7,5,9,Supportive Ancestors,25% increased Damage while you have a Totem\nSpells Cast by Totems have 3% increased Cast Speed per Summoned Totem\nAttacks used by Totems have 3% increased Attack Speed per Summoned Totem
9,5,7,Battle Trance,+8 to Maximum Rage
9,7,5,Electric Amplification,Damage Penetrates 18% Lightning Resistance\nGain 6% of Elemental Damage as Extra Lightning Damage
4,7,9,Controlling Magic,25% increased Critical Hit Chance for Spells\nHits have 25% reduced Critical Hit Chance against you
7,4,9,Surging Currents,Damage Penetrates 15% Lightning Resistance\n+10 to Dexterity
9,4,7,Smoke Inhalation,Damage Penetrates 15% Fire Resistance\n15% increased Duration of Damaging Ailments on Enemies
3,7,9,Grenadier,Grenade Skills have + 1 Cooldown Use
3,9,7,Ruinic Helm,+1 to Maximum Energy Shield per 8 Item Armour on Equipped Helmet
7,3,9,Perfectly Placed Knife,25% increased Critical Hit Chance against Bleeding Enemies\n20% chance to Aggravate Bleeding on targets you Critically Hit with Attacks
7,9,3,Unbothering Cold,+10% to Cold Resistance\n+2% to Maximum Cold Resistance if you have at least 5 Blue Support Gems Socketed
9,3,7,Heartbreaking,25% increased Critical Damage Bonus\n+10 to Strength
9,7,3,Exposed to the Cosmos,Damage Penetrates 18% Cold Resistance\n20% increased chance to inflict Ailments against Enemies with Exposure
2,7,9,Exploit the Elements,24% increased Damage with Hits against Enemies affected by Elemental Ailments\n30% increased chance to inflict Ailments against Rare or Unique Enemies
2,9,7,Rallying Form,Companions in your Presence have Onslaught while you are Shapeshifted
7,2,9,Casting Cascade,15% reduced Spell Damage\n6% increased Cast Speed for each different Non-Instant Spell you've Cast Recently
7,9,2,Behemoth,3% increased maximum Life\n8% increased Area of Effect for Attacks\n5% chance for Slam Skills you use yourself to cause an additional Aftershock
9,2,7,Fleshcrafting,4% of Maximum Life Converted to Energy Shield\nMinions gain 15% of their maximum Life as Extra maximum Energy Shield
9,7,2,Lasting Boons,20% reduced Slowing Potency of Debuffs on You\nBuffs on you expire 10% slower
1,9,7,Tolerant Equipment,Immune to Bleeding if Equipped Helmet has higher Armour than Evasion Rating\nImmune to Poison if Equipped Helmet has higher Evasion Rating than Armour
7,1,9,Fervour,+2 to Maximum Frenzy Charges
7,9,1,Archon of the Storm,Gain Elemental Archon after spending 100% of your Maximum Mana
9,1,7,Cacophony,40% increased Damage with Warcries\nWarcry Skills have 25% increased Area of Effect
9,7,1,Death from Afar,Projectiles have 25% increased Critical Hit Chance against Enemies further than 6m\nProjectiles deal 25% increased Damage with Hits against Enemies further than 6m
